2.3805 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
294.3998 	DATA 	round 3 - trial 113 - throw: 1to2 - PBALL
295.5870 	DATA 	Keypress: 1
295.6649 	DATA 	PLAYER HAS BALL
295.6751 	DATA 	PLAYER THROWS TO 1 - RT 0.0102
295.6751 	DATA 	round 3 - trial 114 - throw: 2to1 - PBALL
296.0001 	DATA 	Keypress: 5
297.7908 	DATA 	round 3 - trial 115 - throw: 1to2 - PBALL
297.9978 	DATA 	Keypress: 5
299.0039 	DATA 	Keypress: 2
299.0748 	DATA 	PLAYER HAS BALL
299.0850 	DATA 	PLAYER THROWS TO 3 - RT 0.0101
299.0850 	DATA 	round 3 - trial 116 - throw: 2to3 - PBALL
299.9980 	DATA 	Keypress: 5
301.9980 	DATA 	Keypress: 5
302.1975 	DATA 	round 3 - trial 117 - throw: 3to2 - PBALL
303.3379 	DATA 	Keypress: 2
303.4649 	DATA 	PLAYER HAS BALL
303.4751 	DATA 	PLAYER THROWS TO 3 - RT 0.0102
303.4752 	DATA 	round 3 - trial 118 - throw: 2to3 - PBALL
303.9979 	DATA 	Keypress: 5
304.5813 	DATA 	round 3 - trial 119 - throw: 3to2 - PBALL
305.7598 	DATA 	Keypress: 2
305.8574 	DATA 	PLAYER HAS BALL
305.8731 	DATA 	PLAYER THROWS TO 3 - RT 0.0157
305.8732 	DATA 	round 3 - trial 120 - throw: 2to3 - PBALL
305.9978 	DATA 	Keypress: 5
306.9910 	DATA 	round 3 - trial 121 - throw: 3to2 - PBALL
307.9979 	DATA 	Keypress: 5
308.2360 	DATA 	Keypress: 1
308.2569 	DATA 	PLAYER HAS BALL
308.2750 	DATA 	PLAYER THROWS TO 1 - RT 0.0181
308.2750 	DATA 	round 3 - trial 122 - throw: 2to1 - PBALL
310.2176 	DATA 	Keypress: 5
310.4171 	DATA 	round 3 - trial 123 - throw: 1to2 - PBALL
311.6448 	DATA 	Keypress: 1
311.6811 	DATA 	PLAYER HAS BALL
311.6913 	DATA 	PLAYER THROWS TO 1 - RT 0.0102
311.6913 	DATA 	round 3 - trial 124 - throw: 2to1 - PBALL
311.9979 	DATA 	Keypress: 5
313.8081 	DATA 	round 3 - trial 125 - throw: 1to2 - PBALL
313.9978 	DATA 	Keypress: 5
315.0658 	DATA 	Keypress: 1
315.0719 	DATA 	PLAYER HAS BALL
315.0821 	DATA 	PLAYER THROWS TO 1 - RT 0.0101
315.0821 	DATA 	round 3 - trial 126 - throw: 2to1 - PBALL
315.9979 	DATA 	Keypress: 5
317.1991 	DATA 	round 3 - trial 127 - throw: 1to2 - PBALL
